OT,Plan de facturacion,Estrato,promedio_36m,desv_36m,max_36m,min_36m,promedio_6m_1m,desv_6m_1m,max_6m_1m,min_6m_1m,promedio_12m_6m,desv_12m_6m,max_12m_6m,min_12m_6m,promedio_24m_12m,desv_24m_12m,max_24m_12m,min_24m_12m,promedio_36m_24m,desv_36m_24m,max_36m_24m,min_36m_24m,Caida_Inicio,Caida_Fin,LongitudCaida,CantidadCaidas,Prom_AntesCaida,Desv_AntesCaida,Max_AntesCaida,Min_AntesCaida,Prom_DespuesCaida,Desv_DespuesCaida,Max_DespuesCaida,Min_DespuesCaida,ConsumosCero,ConsumosDecimal,Resultado
5099157,Plan 123,Estrato -1,48.81250000000001,49.44361656761886,140.0,0.0,81.16666666666667,39.860835749726405,112.0,2.0,94.33285714285715,16.769681684800215,123.0,74.0,58.53153846153846,56.79096302026609,140.0,7.92,5.795384615384616,5.165926208313819,13.17,0.0,MES -23,MES -21,3,2,5.9471428571428575,4.813916475878523,13.17,0.0,79.32761904761905,42.70809000030231,140.0,2.0,5,11,Fraude
5441701,Plan 7,Estrato 6,95.41666666666669,52.64423891964411,244.0,0.0,24.198333333333334,45.82994759615885,117.0,0.0,159.8542857142857,56.45147144735404,244.0,115.98,89.8076923076923,12.947742501974462,115.98,66.36,101.90230769230772,22.078218585235447,152.77,72.2,MES -7,MES -1,7,2,109.66033333333333,40.81620123458603,244.0,66.36,12.66,0.0,12.66,12.66,2,19,Normal
5339759,Plan 204,Estrato 6,5.2125,6.031957452957184,14.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.126153846153846,5.939579865138525,14.15,0.0,10.068461538461538,4.7115705912038965,14.05,0.0,MES -18,MES -1,18,1,9.876315789473686,4.578512986050701,14.15,0.0,0.0,0.0,0.0,0.0,20,15,Normal
5605611,Plan 123,Estrato -1,113.80666666666667,81.67018924570073,311.0,25.0,34.833333333333336,7.250287350627331,46.0,25.0,40.42857142857143,16.84099307104684,68.0,25.0,135.9876923076923,98.90195356630105,311.0,26.0,168.55384615384614,43.717208956821096,257.0,104.0,MES -19,MES -1,19,2,176.81722222222223,62.602550871488326,311.0,26.0,25.0,0.0,25.0,25.0,0,5,Normal
4982310,Plan 123,Estrato -1,100.70444444444443,37.602561876586805,236.0,50.0,113.0,26.510375327407193,145.0,76.0,143.28571428571428,44.57844877559217,236.0,105.0,103.13076923076923,22.683818925076107,143.0,60.0,70.97384615384615,16.79630144727381,99.0,50.0,MES -30,MES -28,3,1,70.9042857142857,17.64128587566504,99.0,51.0,109.96535714285713,35.91713941064736,236.0,60.0,0,4,Normal
4615025,Plan 204,Estrato 3,20.05277777777778,7.451131308585145,33.0,4.0,23.005,10.605741369654456,33.0,4.0,18.857142857142858,9.616454152970858,33.0,10.0,21.361538461538462,5.564701019452658,33.0,11.0,19.243846153846157,6.9135489420672345,29.0,6.5,MES -13,MES -8,6,1,20.202916666666667,6.227294409269746,33.0,6.5,23.00375,9.515834090477828,33.0,4.0,0,6,Fraude
5309357,Plan 204,Estrato 2,4.861111111111111,1.514742369000235,10.0,3.0,4.833333333333333,0.983192080250175,6.0,4.0,4.285714285714286,1.1126972805283737,6.0,3.0,5.3076923076923075,1.9741924671712983,10.0,3.0,4.846153846153846,1.281025230440697,8.0,3.0,MES -16,MES -12,5,1,5.285714285714286,1.665986255670086,10.0,3.0,4.416666666666667,0.9537935951882995,6.0,3.0,0,0,Normal
5459777,Plan 204,Estrato 3,10.305555555555555,4.584566933555881,20.0,2.0,6.833333333333333,1.9407902170679516,8.0,3.0,9.857142857142858,1.4638501094227998,12.0,8.0,8.615384615384615,4.628506986391716,16.0,2.0,13.153846153846153,4.913351772570904,20.0,3.0,MES -10,MES -1,10,3,11.185185185185185,4.784520077616339,20.0,2.0,3.0,0.0,3.0,3.0,0,0,Normal
5408051,Plan 123,Estrato -1,207.52305555555554,34.58338154328252,280.0,125.0,183.16666666666666,24.227394962452458,224.0,149.0,200.57142857142858,23.978164670224054,239.0,173.0,225.98692307692306,29.613716806184986,280.0,179.83,199.60230769230768,38.338158570334365,258.0,125.0,MES -6,MES -2,5,2,211.18806451612903,34.08124660935176,280.0,125.0,205.0,19.0,224.0,186.0,0,1,Normal
5611189,Plan 204,Estrato 1,2.388888888888889,3.5073618720610087,16.0,0.0,0.3333333333333333,0.5163977794943223,1.0,0.0,0.7142857142857143,0.7559289460184544,2.0,0.0,1.5384615384615385,0.6602252917735247,3.0,1.0,4.923076923076923,4.889811490257719,16.0,0.0,MES -33,MES -1,33,1,9.5,6.020797289396148,16.0,0.0,0.0,0.0,0.0,0.0,9,0,Normal
4889447,Plan 204,Estrato 2,9.86111111111111,2.8997810535849355,15.0,0.0,6.166666666666667,4.535048695071164,10.0,0.0,9.571428571428571,0.7867957924694431,11.0,9.0,9.615384615384615,1.7577666482623882,13.0,7.0,12.076923076923077,1.1151635501529558,15.0,11.0,MES -7,MES -5,3,2,10.6,1.7625738755203049,15.0,7.0,5.6,4.317406628984581,10.0,0.0,1,0,Normal
5044222,Plan 204,Estrato 2,0.8888888888888888,0.9791476695218954,4.0,0.0,1.0,0.6324555320336759,2.0,0.0,1.1428571428571428,1.0690449676496976,3.0,0.0,1.0,1.2909944487358056,4.0,0.0,0.5384615384615384,0.5188745216627708,1.0,0.0,MES -30,MES -28,3,1,0.7142857142857143,0.4517539514526256,1.0,0.0,0.9642857142857143,1.0516022760239612,4.0,0.0,14,0,Normal
5563310,Plan 204,Estrato 1,9.291666666666666,2.4853140071801216,15.0,4.0,11.666666666666666,2.065591117977289,15.0,9.0,10.142857142857142,0.8997354108424372,11.0,9.0,10.307692307692308,1.031553471276484,11.0,8.0,6.961538461538462,2.2403639814170306,11.0,4.0,MES -34,MES -25,10,1,9.166666666666666,1.3123346456686351,11.0,8.0,10.4,1.7435595774162693,15.0,5.0,0,1,Fraude
5155028,Plan 204,Estrato 2,14.333333333333334,5.440588203494177,22.0,1.0,8.166666666666666,5.49241901776136,19.0,4.0,10.285714285714286,7.432233529572066,21.0,1.0,16.53846153846154,1.4500221041639685,19.0,15.0,16.76923076923077,3.1925393799149435,22.0,11.0,MES -9,MES -3,7,2,16.571428571428573,2.5833059028607317,22.0,11.0,10.333333333333334,6.182412330330469,19.0,5.0,0,0,Fraude
5370523,Plan 204,Estrato 5,14.848333333333333,16.730696083205007,42.0,0.0,12.090000000000002,13.244517356249718,24.4,0.0,0.0,0.0,0.0,0.0,3.076923076923077,8.190050248742253,28.0,0.0,34.61538461538461,4.64647647037447,42.0,26.0,MES -24,MES -1,24,1,34.61538461538461,4.464190193399048,42.0,26.0,24.12,0.0,24.12,24.12,19,3,Normal
5255992,Plan 123,Estrato -1,8.675555555555555,8.536154518766278,28.0,0.0,9.978333333333333,3.4518714730804603,15.03,5.58,8.290000000000001,7.71303010063706,19.0,0.0,6.230769230769231,9.696681959600461,28.0,0.0,10.692307692307692,9.303983155837212,26.0,0.0,MES -11,MES -1,11,2,8.538461538461538,9.344808386852149,28.0,0.0,11.0,0.0,11.0,11.0,8,6,Normal
5412705,Plan 204,Estrato 2,11.079166666666667,3.026708136384667,20.0,0.0,10.308333333333335,6.58769889010318,20.0,0.0,14.714285714285714,2.8115408417381924,20.0,12.0,10.76923076923077,1.1657505560686467,14.0,10.0,10.461538461538462,1.2659242088545832,13.0,9.0,MES -32,MES -28,5,1,11.6,1.0198039027185568,13.0,10.0,11.137500000000001,3.3130150542972183,20.0,0.0,1,3,Normal
5495511,Plan 204,Estrato 3,2.361111111111111,1.1251102238772057,5.0,0.0,1.5,1.224744871391589,3.0,0.0,2.0,1.0,3.0,0.0,2.5384615384615383,0.8770580193070292,4.0,1.0,2.769230769230769,1.0919284281983377,5.0,1.0,MES -10,MES -8,3,3,2.6296296296296298,0.9486109981381999,5.0,1.0,1.5,1.224744871391589,3.0,0.0,3,0,Fraude
4977367,Plan 204,Estrato 3,12.881666666666668,6.911509448531692,29.0,0.0,11.833333333333334,4.070217029430577,16.0,5.0,13.31,4.347340182993122,19.17,5.0,17.705384615384617,8.332869269129947,29.0,0.0,8.505384615384616,4.1000866157204845,18.0,6.0,sin caida,sin caida,0,0,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,1,3,Fraude
5006618,Plan 204,Estrato 1,10.906944444444443,6.192864935642559,27.0,0.0,6.114999999999999,2.0049014938395358,10.05,4.66,5.721428571428571,3.9925782337207814,11.0,0.0,9.846153846153847,1.143543749793731,12.0,8.0,16.43307692307692,6.479405045495284,27.0,9.0,MES -27,MES -1,27,1,18.063,6.121035941734046,27.0,9.67,6.15,0.0,6.15,6.15,1,9,Fraude
5354291,Plan 204,Estrato 3,17.526111111111113,4.646814133070268,33.5,8.08,16.166666666666668,4.070217029430577,21.0,11.0,15.142857142857142,1.4638501094227996,17.0,13.0,15.48923076923077,2.0380360707409046,19.25,13.0,21.206923076923076,5.374137736442602,33.5,8.08,MES -17,MES -14,4,2,19.297,5.035827737323825,33.5,8.08,15.571428571428571,2.6649654437396615,21.0,11.0,0,10,Normal
5354191,Plan 123,Estrato -1,71.20833333333333,8.591835825779196,92.0,57.0,63.166666666666664,2.639444385977221,68.0,61.0,67.71428571428571,7.158079018709925,83.0,61.0,71.46153846153847,6.239863575103019,83.0,61.0,75.8076923076923,9.65129192893034,92.0,57.0,MES -18,MES -16,3,1,75.5,8.430833136079794,92.0,57.0,66.75,5.367727638395972,83.0,61.0,0,1,Normal
4839207,Plan 204,Estrato 2,0.8888888888888888,1.652319197418807,7.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,2.4299715851758235,6.0,0.0,0.6153846153846154,0.869718492622904,2.0,0.0,1.0769230769230769,1.8912755158683456,7.0,0.0,MES -9,MES -1,9,2,1.1428571428571428,1.7670452681218547,7.0,0.0,0.0,0.0,0.0,0.0,22,0,Fraude
5079747,Plan 123,Estrato -1,10.898888888888887,5.263573353193099,28.46,3.0,6.555,2.062074198471044,9.0,3.0,7.428571428571429,4.466808810815721,17.0,3.0,9.538461538461538,3.256157874330436,17.0,6.0,15.463846153846154,4.968268542227997,28.46,8.0,MES -31,MES -1,31,1,18.171666666666667,5.410552703334065,28.46,10.0,6.33,0.0,6.33,6.33,0,6,Fraude
5379964,Plan 204,Estrato 3,8.0,4.316082880178673,14.0,0.0,0.3333333333333333,0.5163977794943223,1.0,0.0,6.428571428571429,2.63673679998231,9.0,1.0,9.153846153846153,3.4603986727484117,13.0,0.0,10.846153846153847,1.4632243987255138,14.0,9.0,MES -15,MES -1,15,1,10.727272727272727,1.6006197146962735,14.0,6.0,0.0,0.0,0.0,0.0,5,0,Fraude
4615012,Plan 204,Estrato 3,4.027777777777778,1.1080513425729774,6.0,1.0,3.1666666666666665,1.1690451944500122,4.0,1.0,3.5714285714285716,0.9759000729485332,5.0,2.0,4.076923076923077,0.75955452531275,5.0,3.0,4.615384615384615,1.1208970766356101,6.0,2.0,MES -7,MES -1,7,3,4.2,1.0132456102380443,6.0,2.0,1.0,0.0,1.0,1.0,0,0,Fraude
5309348,Plan 204,Estrato 3,4.655555555555555,3.6674689165647,11.0,0.0,1.0,0.8944271909999159,2.0,0.0,1.5714285714285714,1.133893419027682,4.0,1.0,6.584615384615384,3.9516823746024414,11.0,1.0,6.024615384615384,2.9531695272046705,10.32,0.0,MES -16,MES -1,16,2,6.885714285714287,3.10420846659525,11.0,0.0,1.0,0.0,1.0,1.0,3,7,Fraude
5542404,Plan 123,Estrato -1,87.46,35.50892507525397,135.0,0.0,92.10333333333334,30.235566253448383,132.0,46.0,86.65714285714286,31.301057337990844,132.0,37.6,65.52076923076923,42.614417838242346,123.0,0.0,108.16692307692308,18.21932736803392,135.0,59.0,MES -17,MES -11,7,1,101.5085,21.806991373181216,135.0,59.0,91.5109090909091,25.510033838595373,132.0,46.0,1,5,Normal
5088799,Plan 204,Estrato 3,10.416666666666666,4.783154965979194,25.0,0.0,3.1666666666666665,2.9268868558020253,7.0,0.0,9.285714285714286,2.2146697055682827,14.0,7.0,12.76923076923077,4.639573366769947,25.0,8.0,11.692307692307692,2.4625398604088757,16.0,8.0,MES -6,MES -1,6,2,11.709677419354838,3.602808477868313,25.0,7.0,0.0,0.0,0.0,0.0,2,0,Normal
5627194,Plan 123,Estrato -1,310.7991666666667,63.69556653667954,437.0,181.0,381.1666666666667,34.21354507598806,437.0,345.0,354.2857142857143,30.09271387846946,409.0,316.0,330.1361538461539,21.494830594998703,376.0,295.0,240.3846153846154,35.68038317604988,305.0,181.0,sin caida,sin caida,0,0,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,0,3,Normal
5511055,Plan 123,Estrato -1,196.2313888888889,130.26972035309288,544.0,79.0,85.0,5.89915248150105,91.0,79.0,91.0,10.567244989431572,108.0,80.0,175.41,134.0508621133536,544.0,82.0,315.0,77.2150676142077,458.0,202.0,MES -21,MES -1,21,2,321.708125,90.62401925115866,544.0,202.0,89.0,0.0,89.0,89.0,0,1,Normal
